reef,species,year_month,health_score_mean
reef_44,M_cap,2016-05-01,2.6666666666666665
reef_44,P_comp,2014-10-01,1.85
reef_44,P_comp,2014-11-01,2.425
reef_44,P_comp,2014-12-01,2.85
reef_44,P_comp,2015-01-01,3
reef_44,P_comp,2015-02-01,3
reef_44,P_comp,2015-03-01,3
reef_44,P_comp,2015-05-01,3
reef_44,P_comp,2015-06-01,2.85
reef_44,P_comp,2015-07-01,2.4
reef_44,P_comp,2015-08-01,2.25
reef_44,P_comp,2015-09-01,1.75
reef_44,P_comp,2015-10-01,1.925
reef_44,P_comp,2015-11-01,2.5
reef_44,P_comp,2015-12-01,2.85
reef_44,P_comp,2016-01-01,3
reef_44,P_comp,2016-02-01,3
reef_44,P_comp,2016-03-01,3
reef_44,P_comp,2016-05-01,3
reef_44,P_dam,2014-10-01,1
reef_44,P_dam,2014-11-01,1.55
reef_44,P_dam,2014-12-01,2.1
reef_44,P_dam,2015-01-01,2.6
reef_44,P_dam,2015-02-01,2.7
reef_44,P_dam,2015-03-01,2.5555555555555554
reef_44,P_dam,2015-05-01,2.5555555555555554
reef_44,P_dam,2015-06-01,2.3333333333333335
reef_44,P_dam,2015-07-01,1.5555555555555556
reef_44,P_dam,2015-08-01,1.3333333333333333
reef_44,P_dam,2015-09-01,0.8888888888888888
reef_44,P_dam,2015-10-01,1
reef_44,P_dam,2015-11-01,1.1111111111111112
reef_44,P_dam,2015-12-01,1.6666666666666667
reef_44,P_dam,2016-01-01,2.111111111111111
reef_44,P_dam,2016-02-01,2.111111111111111
reef_44,P_dam,2016-03-01,2.2222222222222223
reef_44,P_dam,2016-05-01,2.2222222222222223
reef_himb,M_cap,2014-10-01,2
reef_himb,M_cap,2014-11-01,2.1
reef_himb,M_cap,2014-12-01,2.263157894736842
reef_himb,M_cap,2015-01-01,2.375
reef_himb,M_cap,2015-02-01,2.642857142857143
reef_himb,M_cap,2015-03-01,2.642857142857143
reef_himb,M_cap,2015-05-01,2.5714285714285716
reef_himb,M_cap,2015-06-01,2.642857142857143
reef_himb,M_cap,2015-07-01,2.5
reef_himb,M_cap,2015-08-01,2.2142857142857144
reef_himb,M_cap,2015-09-01,1.9285714285714286
reef_himb,M_cap,2015-10-01,1.9285714285714286
reef_himb,M_cap,2015-11-01,1.8571428571428572
reef_himb,M_cap,2015-12-01,2.0714285714285716
reef_himb,M_cap,2016-01-01,2.2857142857142856
reef_himb,M_cap,2016-02-01,2.5
reef_himb,M_cap,2016-03-01,2.5
reef_himb,M_cap,2016-05-01,2.5714285714285716
reef_himb,P_comp,2014-10-01,1.7
reef_himb,P_comp,2014-11-01,2.375
reef_himb,P_comp,2014-12-01,2.8
reef_himb,P_comp,2015-01-01,3
reef_himb,P_comp,2015-02-01,3
reef_himb,P_comp,2015-03-01,3
reef_himb,P_comp,2015-05-01,3
reef_himb,P_comp,2015-06-01,2.9375
