date,reef,dli_month_mean,dli_month_min,dli_month_max,dli_month_var
2015-04-01,reef_25,17.907369503227127,6.335861216850001,27.968182020180002,46.25994936561631
2015-05-01,reef_25,13.78187837957613,3.71918159901,22.436694540450002,24.143178038715533
2015-06-01,reef_25,24.297147022948163,9.00459666,34.97992073838,48.240284180895834
2015-07-01,reef_25,22.180628879634195,13.230659878380001,30.26150064171,25.999913117789742
2015-08-01,reef_25,17.509734473933797,8.854472342160001,37.91015762637177,35.65437915808406
2015-09-01,reef_25,14.074667429928,3.96917676306,28.09689029784,35.593485440307816
2015-10-01,reef_25,9.943818948246774,2.45372688045,16.35708366207,13.93585439131632
2015-11-01,reef_25,5.721376368015,1.25771526171,12.326415304320001,11.075022930843941
2015-12-01,reef_25,6.266149286918781,2.1537471706770734,15.00840323766,4.6593442807598935
2015-01-01,reef_42,11.71704797116301,4.34787146955,20.754835905306123,17.581821274026577
2015-02-01,reef_42,11.545995728397857,3.9600549002700003,15.926648310180001,7.536794255699835
2015-03-01,reef_42,15.021238590075484,5.479455601620001,22.33082879829,14.557920595138471
2015-04-01,reef_42,21.1376719481631,5.071105107027693,25.61351759856,20.921592934438113
2015-05-01,reef_42,20.133347048941935,12.100286429010001,26.30850768153,15.603814155233007
2015-06-01,reef_42,22.372920147514485,9.90067131081,29.340544319550002,29.660349098061236
2015-07-01,reef_42,19.619380337826776,9.42144147063,27.09099458856,26.893160095753
2015-08-01,reef_42,17.379982720689636,4.49215668207,35.719083082578464,41.05488676717096
2015-09-01,reef_42,13.675754528427001,3.9493737008100003,23.44096151901,30.3100449123802
2015-10-01,reef_42,11.560237519751954,3.22420923144,17.04114252198,17.084946504135157
2015-11-01,reef_42,8.261317766943,1.61668863252,15.55574364099,15.661883415804603
2014-12-01,reef_42,11.113431418796539,3.8261701668184616,15.271712728110002,18.231005767209545
2015-12-01,reef_42,9.031948748264426,1.5547554694080001,15.66872952823149,9.491068291435344
2015-01-01,reef_44,12.027376451612904,3.93093,21.174210000000002,16.713223609610328
2015-02-01,reef_44,14.048645031055901,2.62683,23.303700000000003,31.344239702430468
2015-03-01,reef_44,20.098033548387097,6.43869,28.438290000000002,30.59862460931032
2015-04-01,reef_44,23.785705421052633,4.280892631578948,31.94235,38.940214066338996
2015-05-01,reef_44,23.61693483870968,12.68946,31.75281,29.18569547970581
2015-06-01,reef_44,25.11558098901099,9.64386,36.97488,63.33937408968894
2015-07-01,reef_44,25.37852806451613,12.537180000000001,35.58168,30.579609483836126
2015-08-01,reef_44,19.794890517875572,4.99041,35.54805735849057,42.91331465622238
2015-09-01,reef_44,9.896985,1.7228700000000001,19.93815,26.800834592591393
2015-10-01,reef_44,8.712280113323983,0.81162,22.75938,24.684537885109517
2015-11-01,reef_44,4.2558750000000005,0.62127,11.34891,11.134835861818965
2014-12-01,reef_44,11.664384927113703,3.47247,20.04426,19.44468525602797
2015-12-01,reef_44,8.628927692307693,0.7815876923076923,15.85251,13.942400927075145
2015-01-01,reef_himb,16.425087677695164,6.94539720045,24.42990060126,16.96409371163332
2015-02-01,reef_himb,18.88988933259558,9.048614403330001,29.3196204018,26.553321195782615
2015-03-01,reef_himb,23.66277114164226,8.060862599010001,35.817579000630005,50.707242982317794
2015-04-01,reef_himb,25.530988921471895,11.666817040453955,39.5907749991,41.14070945439075
2015-05-01,reef_himb,22.827555418611496,10.37849399874,31.521092398740002,29.763447670640687
2015-06-01,reef_himb,24.20216279268097,10.495404986670001,36.59554548234,44.84769964240842
2015-07-01,reef_himb,24.864626569629486,13.925256300360001,36.07836542892,30.010305508785198
2015-08-01,reef_himb,21.846904987984946,12.14380872369,37.400890189553635,35.24040633686891
2015-09-01,reef_himb,15.4125185102094,3.5667875704500003,27.639875791530002,32.75112773565421
2015-10-01,reef_himb,11.320441006656004,3.69083420964,20.008391219838,17.92402757834426
2015-11-01,reef_himb,7.8431040541098005,1.45678230027,14.46604605153,12.229912844321033
2014-12-01,reef_himb,14.7921431280804,4.5892223994600005,22.26935339748,35.59367554869104
2015-12-01,reef_himb,10.80547617947971,3.207473457588,18.2942146947456,11.225088567392058
NA,reef_himb,NaN,NA,NA,NA
