"reef","year_month","bleached","clade_c_mean","clade_d_mean","total_zoox_mean"
"reef_44",2016-03-01,TRUE,412.857142857143,31.5714285714286,407
"reef_himb",2014-10-01,FALSE,NA,NA,431.875
"reef_himb",2014-10-01,TRUE,305.7,NA,226.6
"reef_himb",2014-10-01,NA,NA,NA,NA
"reef_himb",2014-11-01,FALSE,NA,NA,457
"reef_himb",2014-11-01,TRUE,215.3,NA,140
"reef_himb",2014-11-01,NA,NA,NA,NA
"reef_himb",2014-12-01,FALSE,NA,NA,595.5
"reef_himb",2014-12-01,TRUE,215.111111111111,NA,155.111111111111
"reef_himb",2014-12-01,NA,NA,NA,NA
"reef_himb",2015-01-01,FALSE,NA,NA,714
"reef_himb",2015-01-01,TRUE,554,NA,534.833333333333
"reef_himb",2015-01-01,NA,NA,NA,NA
"reef_himb",2015-05-01,FALSE,NA,NA,364.714285714286
"reef_himb",2015-05-01,TRUE,367.857142857143,NA,277.571428571429
"reef_himb",2015-05-01,NA,NA,NA,NA
"reef_himb",2015-08-01,FALSE,98.5714285714286,154.571428571429,378.428571428571
"reef_himb",2015-08-01,TRUE,496.5,1,427.833333333333
"reef_himb",2015-08-01,NA,NA,NA,NA
"reef_himb",2015-09-01,FALSE,212.428571428571,188.428571428571,518.571428571429
"reef_himb",2015-09-01,TRUE,230.833333333333,1,147.833333333333
"reef_himb",2015-09-01,NA,NA,NA,NA
"reef_himb",2015-10-01,FALSE,151.583333333333,183,436.083333333333
"reef_himb",2015-10-01,TRUE,155.6,1,377.7
"reef_himb",2015-10-01,NA,NA,NA,NA
"reef_himb",2015-11-01,FALSE,173.285714285714,230.142857142857,584.428571428571
"reef_himb",2015-11-01,TRUE,171,1,274.6
"reef_himb",2015-11-01,NA,NA,NA,NA
"reef_himb",2015-12-01,FALSE,99.5384615384615,175.384615384615,433
"reef_himb",2015-12-01,TRUE,366.9,74,604.1
"reef_himb",2015-12-01,NA,NA,NA,NA
"reef_himb",2016-01-01,FALSE,113,243.857142857143,560.142857142857
"reef_himb",2016-01-01,TRUE,391.8,67,478.2
"reef_himb",2016-01-01,NA,NA,NA,NA
"reef_himb",2016-02-01,FALSE,116.142857142857,210.142857142857,521.714285714286
"reef_himb",2016-02-01,TRUE,462.6,65.2,593.6
"reef_himb",2016-02-01,NA,NA,NA,NA
"reef_himb",2016-03-01,FALSE,100,133,351.714285714286
"reef_himb",2016-03-01,TRUE,315.333333333333,103.666666666667,484.333333333333
