date,temp_mean_daily_mean,temp_mean_daily_min,temp_mean_daily_max,temp_mean_daily_var
2015-01-01,23.66986345456045,23.238546511627906,23.66986345456045,0.07895154696078763
2015-02-01,24.407214926938657,23.951375,24.407214926938657,0.10476490743242664
2015-03-01,23.85395934139785,23.33890322580645,23.85395934139785,0.1081575802525467
2015-04-01,25.373898281364106,24.79748076923077,25.373898281364106,0.16133440204303479
2015-05-01,25.379147961469535,24.7497311827957,25.379147961469535,0.1687440408661102
2015-06-01,27.514798787473346,26.829495145631068,27.514798787473346,0.17685057084005953
2015-07-01,28.67351234879032,28.00733870967742,28.67351234879032,0.16801794698376488
2015-08-01,28.95998703037904,28.417542056074765,28.95998703037904,0.12295014824595059
2015-09-01,28.451468143203883,27.84029126213592,28.451468143203883,0.10562106046418658
2014-10-01,27.767564936466087,27.17867415730337,27.767564936466087,0.10857612993307926
2015-10-01,26.916388622404657,26.411032258064516,26.916388622404657,0.19348253121929235
2014-11-01,25.953096679637657,25.46388990825688,25.953096679637657,0.0859994181685985
2015-11-01,25.93448654513889,25.485975,25.93448654513889,0.08128546349689329
2014-12-01,23.953582549283155,23.459311827956988,23.953582549283155,0.09477256242572153
2015-12-01,24.81134182860056,24.281197802197802,24.81134182860056,0.10416679101915371
NA,NA,NA,NA,NA
